criterio,exp_media,sensibilidad_exp,sus_media,sensibilidad_sus,res_media,sensibilidad_res,vulnerabilidad,sensibilidad_vul
total,0.791,,0.212,,0.224,,0.789
v_acuatica,0.769,0.028,0.212,0.0,0.224,0.0,0.766,0.029
v_costera,0.907,0.147,0.282,0.33,0.224,0.0,0.909,0.152
elevacion,0.76,0.039,0.255,0.203,0.217,0.031,0.773,0.02
ancho_playa,0.796,0.006,0.212,0.0,0.265,0.183,0.786,0.004
v_costera,0.907,0.147,0.282,0.33,0.224,0.0,0.909,0.152
elevacion,0.76,0.039,0.255,0.203,0.217,0.031,0.773,0.02
duna_costera,0.791,0.0,0.227,0.071,0.233,0.04,0.79,0.001
tipo_litoral,0.791,0.0,0.084,0.604,0.207,0.076,0.769,0.025
biodiversidad,0.791,0.0,0.212,0.0,0.224,0.0,0.79,0.001
servicios_ambientales,0.791,0.0,0.212,0.0,0.224,0.0,0.787,0.003
ancho_playa,0.796,0.006,0.212,0.0,0.265,0.183,0.786,0.004
duna_costera,0.791,0.0,0.227,0.071,0.233,0.04,0.79,0.001
elevacion,0.76,0.039,0.255,0.203,0.217,0.031,0.773,0.02
tipo_litoral,0.791,0.0,0.084,0.604,0.207,0.076,0.769,0.025
