alternatives,rank_order
Distancia a infraestructura de apoyo,1
Distancia a carreteras y caminos,2
Distancia a infraestructura portuaria y aérea,3
índice de disponibilidad de energía eléctrica,4
Distancia a sitios de resguardo,5
Distancia a línea de costa,6
Índice de importancia económica primaria,7
Indice de disponibilidad de agua del sector forestal,8
Indice de disponibilidad de agua del sector agricola,9
Distancia a arroyos,10
Índice de importancia económica secundaria,11
Índice de importancia económica terciaria,12
Campos pesqueros,13
Distancia a sitios arqueológicos ,14
