rank_order,alternatives,w
1,Distancia a infraestructura de apoyo,0.23225445189730903
2,Distancia a carreteras y caminos,0.16082588046873766
3,Distancia a infraestructura portuaria y aérea,0.12511159475445188
4,índice de disponibilidad de energía eléctrica,0.10130207094492807
5,Distancia a sitios de resguardo,0.08344492808778521
6,Distancia a línea de costa,0.06915921380207095
7,Índice de importancia económica primaria,0.057254451897309044
8,Indice de disponibilidad de agua del sector forestal,0.047050370264655986
9,Indice de disponibilidad de agua del sector agricola,0.03812179883608455
10,Distancia a arroyos,0.03018529089957661
11,Índice de importancia económica secundaria,0.02304243375671947
12,Índice de importancia económica terciaria,0.016548927263212974
13,Campos pesqueros,0.010596546310832025
14,Distancia a sitios arqueológicos ,0.00510204081632653
