id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
2, 0.3260, 0.3260, 0.2571, 0.2838, 0.3368, 0.4296, 0.4872, 0.5246, 0.5338, 0.5657, 0.5573
3, 0.3260, 0.3260, 0.2214, 0.2220, 0.2360, 0.2360, 0.2823, 0.3686, 0.4396, 0.4950, 0.5198
4, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
5, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
6, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
7, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
8, 0.3260, 0.3260, 0.2214, 0.2011, 0.1592, 0.1573, 0.1548, 0.1438, 0.1588, 0.1687, 0.1915
9, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0672, 0.0514, 0.0423
10, 0.3886, 0.3886, 0.4662, 0.6562, 0.6219, 0.6205, 0.6098, 0.6250, 0.5863, 0.5983, 0.6007
11, 0.3260, 0.3260, 0.2544, 0.2217, 0.2676, 0.3007, 0.3995, 0.4752, 0.5314, 0.5072, 0.5237
12, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
13, 0.3580, 0.3580, 0.3589, 0.4430, 0.4807, 0.5085, 0.5454, 0.5789, 0.5967, 0.6135, 0.6305
14, 0.3260, 0.3260, 0.2706, 0.2774, 0.2946, 0.3903, 0.5087, 0.5639, 0.5794, 0.5789, 0.5970
15, 0.3260, 0.3260, 0.2847, 0.2925, 0.3570, 0.4384, 0.4845, 0.5094, 0.5415, 0.5666, 0.5841
16, 0.3260, 0.3260, 0.2532, 0.2026, 0.2007, 0.1904, 0.2344, 0.2217, 0.3857, 0.4722, 0.5137
17, 0.3260, 0.3260, 0.2587, 0.2598, 0.2864, 0.3617, 0.4399, 0.5126, 0.5191, 0.4944, 0.4885
18, 0.3511, 0.3511, 0.2894, 0.2938, 0.2854, 0.4182, 0.5131, 0.5639, 0.5406, 0.5191, 0.5019
19, 0.3260, 0.3260, 0.2214, 0.2132, 0.2108, 0.2413, 0.2365, 0.3346, 0.4080, 0.4705, 0.5166
20, 0.3511, 0.3511, 0.2894, 0.2945, 0.3450, 0.4793, 0.5524, 0.5477, 0.5366, 0.5249, 0.5323
21, 0.3260, 0.3260, 0.2706, 0.2688, 0.2686, 0.4393, 0.5384, 0.5434, 0.5400, 0.5307, 0.5248
22, 0.3260, 0.3260, 0.2706, 0.2677, 0.2471, 0.4177, 0.5194, 0.5599, 0.5199, 0.4950, 0.4944
23, 0.3260, 0.3260, 0.2214, 0.1934, 0.1678, 0.1742, 0.2307, 0.2560, 0.3983, 0.4900, 0.5367
24, 0.3260, 0.3260, 0.2587, 0.2758, 0.2835, 0.3706, 0.4495, 0.4986, 0.5315, 0.5321, 0.5159
25, 0.3260, 0.3260, 0.2706, 0.2722, 0.2859, 0.4492, 0.5414, 0.5482, 0.5402, 0.5334, 0.5327
26, 0.3260, 0.3260, 0.2587, 0.2786, 0.2794, 0.3636, 0.4420, 0.5103, 0.4991, 0.4814, 0.4988
27, 0.3260, 0.3260, 0.2214, 0.1920, 0.1688, 0.1688, 0.2338, 0.2517, 0.3868, 0.4843, 0.5135
28, 0.3649, 0.3649, 0.3484, 0.4891, 0.4785, 0.4972, 0.5513, 0.5925, 0.6166, 0.6369, 0.6371
29, 0.3260, 0.3260, 0.2214, 0.2305, 0.2378, 0.2491, 0.2936, 0.4020, 0.4735, 0.5074, 0.5275
30, 0.3260, 0.3260, 0.2281, 0.2181, 0.2404, 0.2766, 0.3072, 0.4159, 0.4740, 0.5107, 0.5374
31, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
32, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0903, 0.0795, 0.0582, 0.0538, 0.0524
33, 0.3260, 0.3260, 0.2587, 0.2738, 0.2745, 0.3670, 0.4279, 0.4949, 0.5197, 0.4961, 0.5037
34, 0.3649, 0.3649, 0.2774, 0.3168, 0.2998, 0.4233, 0.5259, 0.5562, 0.5459, 0.5532, 0.5384
35, 0.3260, 0.3260, 0.2706, 0.2711, 0.2903, 0.3856, 0.4710, 0.5109, 0.5514, 0.5848, 0.6106
36, 0.3260, 0.3260, 0.2214, 0.2103, 0.2059, 0.2352, 0.2417, 0.3100, 0.3808, 0.4303, 0.4836
37, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
38, 0.3260, 0.3260, 0.2214, 0.2321, 0.2389, 0.2353, 0.2831, 0.3778, 0.4273, 0.4579, 0.4885
39, 0.3564, 0.3564, 0.2990, 0.2919, 0.3588, 0.4655, 0.5214, 0.6010, 0.6240, 0.6305, 0.6371
