id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
2, 0.3260, 0.3260, 0.2214, 0.2220, 0.2365, 0.2562, 0.2722, 0.3727, 0.4261, 0.4566, 0.4828
3, 0.3260, 0.3260, 0.2214, 0.1935, 0.1959, 0.2296, 0.2517, 0.2880, 0.3775, 0.4417, 0.4836
4, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
5, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
6, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
7, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
8, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0714, 0.0818, 0.0859
9, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
10, 0.3602, 0.3602, 0.3287, 0.4842, 0.5239, 0.5447, 0.5600, 0.5823, 0.5859, 0.5716, 0.5574
11, 0.3260, 0.3260, 0.2214, 0.2220, 0.2325, 0.2589, 0.2791, 0.3770, 0.4515, 0.4919, 0.5237
12, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
13, 0.3260, 0.3260, 0.2936, 0.2648, 0.3968, 0.4709, 0.5241, 0.5636, 0.5689, 0.5674, 0.5628
14, 0.3260, 0.3260, 0.2587, 0.2627, 0.2931, 0.3523, 0.4397, 0.5021, 0.5346, 0.5589, 0.5757
15, 0.3260, 0.3260, 0.2672, 0.2647, 0.2749, 0.3888, 0.4643, 0.5115, 0.5411, 0.5720, 0.5965
16, 0.3260, 0.3260, 0.2214, 0.1555, 0.1549, 0.1664, 0.1699, 0.1973, 0.2169, 0.2231, 0.2434
17, 0.3260, 0.3260, 0.2214, 0.2010, 0.2033, 0.2339, 0.2140, 0.2808, 0.3503, 0.3975, 0.4485
18, 0.3260, 0.3260, 0.2214, 0.1979, 0.2035, 0.2336, 0.2485, 0.2895, 0.3517, 0.4137, 0.4576
19, 0.3260, 0.3260, 0.2214, 0.1762, 0.1779, 0.1701, 0.2061, 0.2312, 0.2240, 0.3032, 0.3858
20, 0.3260, 0.3260, 0.2214, 0.2240, 0.2250, 0.2504, 0.2643, 0.3452, 0.4095, 0.4611, 0.5055
21, 0.3260, 0.3260, 0.2214, 0.2099, 0.1871, 0.2347, 0.2541, 0.2986, 0.3719, 0.4307, 0.4806
22, 0.3260, 0.3260, 0.2214, 0.2065, 0.1767, 0.2313, 0.2464, 0.2847, 0.3430, 0.3903, 0.4462
23, 0.3260, 0.3260, 0.2214, 0.1555, 0.1234, 0.1202, 0.1356, 0.1371, 0.1667, 0.1842, 0.1906
24, 0.3260, 0.3260, 0.2214, 0.2162, 0.2274, 0.2433, 0.2278, 0.3368, 0.4117, 0.4658, 0.4907
25, 0.3260, 0.3260, 0.2214, 0.2120, 0.1940, 0.2368, 0.2562, 0.3135, 0.3836, 0.4438, 0.4932
26, 0.3260, 0.3260, 0.2214, 0.2166, 0.2223, 0.2469, 0.2148, 0.3333, 0.3814, 0.4319, 0.4837
27, 0.3260, 0.3260, 0.2214, 0.1555, 0.1475, 0.1523, 0.1544, 0.1846, 0.2043, 0.2149, 0.2209
28, 0.3260, 0.3260, 0.2804, 0.3039, 0.3959, 0.4698, 0.5315, 0.5635, 0.5680, 0.5656, 0.5691
29, 0.3260, 0.3260, 0.2214, 0.2040, 0.2152, 0.2442, 0.2586, 0.3185, 0.3951, 0.4457, 0.4923
30, 0.3260, 0.3260, 0.2214, 0.1795, 0.1819, 0.1877, 0.2183, 0.2409, 0.2562, 0.3477, 0.4188
31, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
32, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
33, 0.3260, 0.3260, 0.2214, 0.2195, 0.2272, 0.2554, 0.2272, 0.3633, 0.4119, 0.4489, 0.4948
34, 0.3260, 0.3260, 0.2214, 0.2055, 0.2132, 0.2269, 0.2491, 0.2902, 0.3588, 0.4256, 0.4798
35, 0.3260, 0.3260, 0.2587, 0.2480, 0.2793, 0.3436, 0.4221, 0.4810, 0.5299, 0.5496, 0.5585
36, 0.3260, 0.3260, 0.2214, 0.1762, 0.1779, 0.1602, 0.2050, 0.2230, 0.2112, 0.2693, 0.3552
37, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
38, 0.3260, 0.3260, 0.2214, 0.1979, 0.1951, 0.2355, 0.2487, 0.2954, 0.3542, 0.4021, 0.4549
39, 0.3260, 0.3260, 0.2649, 0.2739, 0.2932, 0.3742, 0.4655, 0.5168, 0.5457, 0.5671, 0.5819
40, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0936, 0.0954, 0.1030, 0.1086, 0.0966, 0.1279
42, 0.3260, 0.3260, 0.2214, 0.1762, 0.1779, 0.1762, 0.2129, 0.2369, 0.2172, 0.3347, 0.4130
43, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
44, 0.3260, 0.3260, 0.2214, 0.1555, 0.1441, 0.1499, 0.1539, 0.1739, 0.1995, 0.2117, 0.2181
45, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0733, 0.0818, 0.0873
46, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
47, 0.3260, 0.3260, 0.2214, 0.1555, 0.1234, 0.1243, 0.1378, 0.1258, 0.1618, 0.1831, 0.1933
48, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
49, 0.3260, 0.3260, 0.2540, 0.2382, 0.2859, 0.3092, 0.4007, 0.4928, 0.5737, 0.5589, 0.5514
50, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
51, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
52, 0.3260, 0.3260, 0.2706, 0.2729, 0.2700, 0.3788, 0.4608, 0.5159, 0.5491, 0.5614, 0.5759
53, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
54, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
55, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
56, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
57, 0.3260, 0.3260, 0.2214, 0.1555, 0.1424, 0.1452, 0.1451, 0.1751, 0.1961, 0.2090, 0.2017
58, 0.3260, 0.3260, 0.2780, 0.2933, 0.3186, 0.5198, 0.5467, 0.5585, 0.5786, 0.6024, 0.6007
59, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
60, 0.3260, 0.3260, 0.2623, 0.2715, 0.2947, 0.3779, 0.4645, 0.5206, 0.5472, 0.5659, 0.5806
61, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
62, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
64, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
65, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
