id, fp10, fp11, fp12, fp13, fp14, fp15, fp16, fp17, fp18, fp19, fp20
1, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
2, 0.3260, 0.3260, 0.2902, 0.2845, 0.3294, 0.4296, 0.4796, 0.5233, 0.5356, 0.5657, 0.5573
3, 0.3260, 0.3260, 0.2214, 0.2220, 0.2360, 0.2360, 0.2823, 0.3686, 0.4396, 0.4950, 0.5198
4, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
5, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
6, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
7, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
8, 0.3260, 0.3260, 0.2214, 0.2147, 0.2124, 0.2367, 0.2497, 0.2926, 0.3761, 0.4456, 0.4795
9, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0675, 0.0728, 0.0732, 0.0818, 0.0875
10, 0.4422, 0.4422, 0.4878, 0.6805, 0.6935, 0.6804, 0.6631, 0.6670, 0.6446, 0.6410, 0.6385
11, 0.3260, 0.3260, 0.2544, 0.2217, 0.2676, 0.3007, 0.3995, 0.4752, 0.5314, 0.5072, 0.5237
12, 0.3260, 0.3260, 0.2214, 0.1555, 0.1123, 0.0831, 0.0628, 0.0484, 0.0378, 0.0300, 0.0240
13, 0.3877, 0.3877, 0.4043, 0.4932, 0.5015, 0.5176, 0.6074, 0.6244, 0.6336, 0.6369, 0.6371
14, 0.3260, 0.3260, 0.3037, 0.3130, 0.3773, 0.4676, 0.5087, 0.5639, 0.5794, 0.5789, 0.5970
15, 0.3260, 0.3260, 0.2847, 0.3019, 0.3692, 0.4639, 0.5072, 0.5301, 0.5655, 0.5894, 0.6053
16, 0.3260, 0.3260, 0.2532, 0.2431, 0.2666, 0.3067, 0.3860, 0.4616, 0.5123, 0.5122, 0.5137
17, 0.3260, 0.3260, 0.2706, 0.2797, 0.3035, 0.3661, 0.4455, 0.5028, 0.5334, 0.5225, 0.5120
18, 0.3610, 0.3610, 0.3346, 0.4301, 0.5024, 0.4400, 0.5074, 0.5411, 0.5241, 0.5151, 0.5057
19, 0.3260, 0.3260, 0.2214, 0.2132, 0.2108, 0.2413, 0.2365, 0.3346, 0.4080, 0.4705, 0.5166
