campo,MB,B,M,A,E,,,campo,MB,B,M,A,E,,,,,,,,
FP10,245.41,0.09,785.35,152.95,0,,,fp10,245.50,770.81,97.79,69.70,0.00,,,-0.09,-770.72,687.56,83.25,0.00,0.00
FP11,245.5,721.83,103.25,113.22,0,,,fp11,245.50,721.83,103.25,113.22,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00
FP12,245.41,652.61,200.78,52.94,32.06,,,fp12,245.41,587.06,214.80,136.53,0.00,,,0.00,65.55,-14.02,-83.59,32.06,0.00
FP13,221.54,243.63,491.08,193.39,34.16,,,fp13,221.54,243.63,491.08,193.39,34.16,,,0.00,0.00,0.00,0.00,0.00,0.00
FP14,220.32,59.06,675.48,164.57,64.37,,,fp14,220.32,25.18,635.71,255.99,46.59,,,0.00,33.88,39.77,-91.42,17.78,0.00
FP15,219.53,25.97,370.28,438.72,129.29,,,fp15,219.53,25.97,370.28,438.72,129.29,,,0.00,0.00,0.00,0.00,0.00,0.00
FP16,219.53,25.97,530.97,299.27,108.05,,,fp16,219.53,25.95,149.52,605.18,183.62,,,0.00,0.02,381.45,-305.91,-75.57,0.00
FP17,219.53,25.88,0.35,675.69,262.36,,,fp17,219.53,25.88,0.35,675.69,262.36,,,0.00,0.00,0.00,0.00,0.00,0.00
FP18,219.53,25.88,0.45,671.48,266.45,,,fp18,219.53,25.88,0.09,535.64,402.66,,,0.00,0.00,0.36,135.84,-136.21,0.00
FP19,218.82,1.56,25.13,203.56,734.73,,,fp19,218.82,1.56,25.13,203.56,734.73,,,0.00,0.00,0.00,0.00,0.00,0.00
FP20,218.82,1.5,25.18,254.56,683.73,,,fp20,218.82,1.50,25.18,0.36,937.94,,,0.00,0.00,0.00,254.20,-254.21,0.00
