ageb_id,year,budget,budget_spl,stress,cat_vul,ex_cat_vul
"7141","2060","1000",action_budget,base,"5","5"
"7142","2060","1000",action_budget,base,"5","5"
"7143","2060","1000",action_budget,base,"5","5"
"7144","2060","1000",action_budget,base,"5","5"
"7145","2060","1000",action_budget,base,"5","5"
"7146","2060","1000",action_budget,base,"5","5"
"7147","2060","1000",action_budget,base,"5","5"
"7148","2060","1000",action_budget,base,"5","5"
"7149","2060","1000",action_budget,base,"5","5"
"7150","2060","1000",action_budget,base,"4","5"
"7151","2060","1000",action_budget,base,"5","5"
"7152","2060","1000",action_budget,base,"5","5"
"7153","2060","1000",action_budget,base,"4","5"
"7154","2060","1000",action_budget,base,"4","5"
"7155","2060","1000",action_budget,base,"5","5"
"7156","2060","1000",action_budget,base,"5","5"
"7157","2060","1000",action_budget,base,"4","5"
"7158","2060","1000",action_budget,base,"5","5"
"7159","2060","1000",action_budget,base,"4","5"
"7160","2060","1000",action_budget,base,"5","5"
"7161","2060","1000",action_budget,base,"5","5"
"7162","2060","1000",action_budget,base,"5","5"
"7163","2060","1000",action_budget,base,"4","5"
"7164","2060","1000",action_budget,base,"4","5"
"7165","2060","1000",action_budget,base,"3","5"
"7166","2060","1000",action_budget,base,"2","3"
"7167","2060","1000",action_budget,base,"4","5"
"7168","2060","1000",action_budget,base,"2","3"
"7169","2060","1000",action_budget,base,"2","3"
"7170","2060","1000",action_budget,base,"4","5"
"7171","2060","1000",action_budget,base,"4","5"
"7172","2060","1000",action_budget,base,"4","5"
"7173","2060","1000",action_budget,base,"2","3"
"7174","2060","1000",action_budget,base,"4","5"
"7175","2060","1000",action_budget,base,"4","5"
"7176","2060","1000",action_budget,base,"4","5"
"7177","2060","1000",action_budget,base,"4","5"
"7178","2060","1000",action_budget,base,"4","5"
"7179","2060","1000",action_budget,base,"4","5"
"7180","2060","1000",action_budget,base,"4","5"
"7181","2060","1000",action_budget,base,"4","5"
"7182","2060","1000",action_budget,base,"4","5"
"7183","2060","1000",action_budget,base,"4","5"
"7184","2060","1000",action_budget,base,"4","5"
"7185","2060","1000",action_budget,base,"4","5"
"7186","2060","1000",action_budget,base,"4","5"
"7187","2060","1000",action_budget,base,"4","5"
