clas/ref,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13
clase_1,122,0,0,0,0,0,0,0,0,0,0,0,4
clase_2,0,760,0,0,0,0,0,0,0,0,0,0,4
clase_3,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_4,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_5,0,7,0,0,161,0,0,0,0,0,0,1,6
clase_6,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_7,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_8,0,4,0,0,10,0,0,56,0,0,0,1,13
clase_9,6,104,0,0,0,0,0,2,1626,0,0,137,19
clase_10,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_11,0,0,0,0,0,0,0,0,0,0,0,0,0
clase_12,0,66,0,0,0,0,0,0,0,0,0,2221,0
clase_13,0,42,0,0,0,0,0,0,0,0,0,0,2731
