cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_10,clase_11,clase_13,clase_14,clase_15,clase_16
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,0,0,0,52,0,0,0,0,10344.79,0,0,0,0
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,262,3691.03,3732.79,7840.87,0,0,1718.1,7147.74,3516.36,0,1618.92,2795.6,0
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",318.31,1425.24,0,0,368.04,0,0,0,14686.27,3101.11,0,0,0,0
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",0,4184.95,0,0,102.43,0,0,0,8534.13,3266.32,0,0,0,0
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,50,0,0,0,0,0,0,795.19,1772.54,0,0,0,0
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,0,9882.43,13318.24,0,0,191.84,14004.34,5403.69,0,1429.04,0,0
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",232.89,0,0,68,0,0,0,0,0,50019.93,0,0,0,1070.07
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",0,4789.47,0,0,0,0,0,0,8631.47,4403.98,0,0,0,0
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",0,4693.86,0,763.67,150.51,182.46,0,323.85,5720.32,1563.29,0,0,0,0
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",0,461.95,0,0,1547.81,0,0,0,0,52226.97,372,0,0,0
