cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16
"31","060","31060",Yucatán,10344.79000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,0,0,0,0.93,0,64,0,0,0,10279.86,0,0,0,0,0
"31","061","31061",Yucatán,33739.84000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,0,3515.38,5892.82,16039.72,3311.73,62.21,1078.64,0,2776.66,0,0,0,26.36,0,0
"31","062","31062",Yucatán,19898.97000,197.16112,Sacalum,"2360","2361",Sur,"7",971.37,1713.91,8.7,0,192.16,0,118.33,0,0,0,16894.49,0,0,0,0,0
"31","063","31063",Yucatán,16087.83000,159.24529,Samahil,"2361","2362",Poniente,"1",1238.45,1204.13,0.37,0,713.11,0,182.35,0,0,749.36,12000.07,0,0,0,0,0
"31","064","31064",Yucatán,2617.73000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,0,0,0,0,0,48.46,0,0,0,2569.27,0,0,0,0,0
"31","065","31065",Yucatán,45198.94000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,1.43,10259.86,29273.14,0,45.42,98.16,184.68,3114.25,0,0,0,1396.78,0,0
"31","066","31066",Yucatán,51443.63000,509.87699,Santa Elena,"2364","2365",Sur,"7",340.55,1055.49,0,0,250.91,0,123.93,0,0,0,49672.75,0,0,0,0,0
"31","067","31067",Yucatán,17824.93000,176.57656,Seyé,"2365","2366",Noroeste,"2",98.33,1585.29,0,0,254.21,0,156.77,0,0,0,15730.33,0,0,0,0,0
"31","068","31068",Yucatán,13433.37000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",0,3776.55,0,699.34,3429.8,182.02,188.45,85.83,0,2641.86,2429.29,0,0,0,0,0
"31","069","31069",Yucatán,54608.74000,541.41639,Sotuta,"2367","2368",Oriente,"6",0,596.78,0,0,636.73,0,266.24,0,0,0,53108.98,0,0,0,0,0
