cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_12,clase_13,clase_16,clase_17,clase_18,clase_19
"31","060","31060",Yucatán,10345.65000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,0,0,0,282.76,0,0,0,0,0,0,10062.03,0,0,0,0
"31","061","31061",Yucatán,33756.28000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,260.06,3696.91,3907.04,8089.7,5790.8,0,0,0,1891.31,1111.41,3516.36,0,1644.91,2814.37,0
"31","062","31062",Yucatán,19878.24000,197.16112,Sacalum,"2360","2361",Sur,"7",369.37,3423.26,0,0,1409.99,0,0,0,0,0,14684.98,11.37,0,0,0,0
"31","063","31063",Yucatán,16064.00000,159.24529,Samahil,"2361","2362",Poniente,"1",0,7350.71,0,0,186.13,0,0,0,0,0,8550.98,0,0,0,0,0
"31","064","31064",Yucatán,2616.39000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,1825.24,0,0,0,0,0,0,0,0,791.33,1.16,0,0,0,0
"31","065","31065",Yucatán,45214.35000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,0,10102.04,13328.32,13305.25,0,0,0,206.79,684.86,5403.06,0,1475.09,0,0
"31","066","31066",Yucatán,51381.68000,509.87699,Santa Elena,"2364","2365",Sur,"7",256.59,160.7,0,65.67,0,0,0,0,0,0,0,49885.1,0,0,0,1075.57
"31","067","31067",Yucatán,17812.38000,176.57656,Seyé,"2365","2366",Noroeste,"2",0,9200.69,0,0,0,0,0,0,0,0,8624.23,0,0,0,0,0
"31","068","31068",Yucatán,13426.84000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",0,6738.07,0,761.65,178.38,0,0,185.67,0,321.84,5216.24,0,0,0,0,0
"31","069","31069",Yucatán,54594.42000,541.41639,Sotuta,"2367","2368",Oriente,"6",0,929.74,0,0,5563.88,0,0,0,0,0,0,47740.72,374.41,0,0,0
