cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","060","31060",Yucatán,10345.65000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,0,0,0,0.93,0,0,64,0,0,0,10279.86,0,0,0,0,0,0
"31","061","31061",Yucatán,33756.28000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,0,3383.7,3994.25,15870.75,0,3618.07,62.21,968.76,0,2945.63,0,0,0,0,1860.16,0,0
"31","062","31062",Yucatán,19878.24000,197.16112,Sacalum,"2360","2361",Sur,"7",971.37,1713.91,8.7,0,192.16,0,0,118.33,0,0,0,16894.49,0,0,0,0,0,0
"31","063","31063",Yucatán,16064.00000,159.24529,Samahil,"2361","2362",Poniente,"1",1082.54,605.25,0.37,0,732.1,0,0,134.3,0,0,0,13533.28,0,0,0,0,0,0
"31","064","31064",Yucatán,2616.39000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,0,0,0,0,0,0,48.46,0,0,0,2569.27,0,0,0,0,0,0
"31","065","31065",Yucatán,45214.35000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,1.43,9499.46,29404.23,0,0,0,49.09,100.35,2983.15,0,0,0,0,2336,0,0
"31","066","31066",Yucatán,51381.68000,509.87699,Santa Elena,"2364","2365",Sur,"7",340.55,1055.49,0,0,250.91,0,0,123.93,0,0,0,49672.75,0,0,0,0,0,0
"31","067","31067",Yucatán,17812.38000,176.57656,Seyé,"2365","2366",Noroeste,"2",98.33,754.14,0,0,254.21,0,0,156.77,0,0,1572.81,14988.67,0,0,0,0,0,0
"31","068","31068",Yucatán,13426.84000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",109.77,4006.6,0,699.34,2100.91,0,182.02,145.9,132.95,0,3317.23,2738.41,0,0,0,0,0,0
"31","069","31069",Yucatán,54594.42000,541.41639,Sotuta,"2367","2368",Oriente,"6",0,596.78,0,0,636.73,0,0,266.24,0,0,0,53108.98,0,0,0,0,0,0
"31","070","31070",Yucatán,30721.89000,304.38063,Sucilá,"2368","2369",Noreste,"5",0,102.38,3.67,0,27564.96,0,0,78.31,0,0,0,2963.41,0,0,0,0,0,0
"31","071","31071",Yucatán,22155.84000,219.64622,Sudzal,"2369","2370",Centro,"3",0,11.04,0,0,4773.56,0,0,0,0,0,0,17374.64,0,0,0,0,0,0
"31","072","31072",Yucatán,8790.55000,87.10640,Suma,"2370","2371",Litoral centro,"4",0,4061.78,0,0,329.49,0,0,52,0,0,0,4351.09,0,0,0,0,0,0
"31","073","31073",Yucatán,24141.42000,239.57272,Tahdziú,"2371","2372",Oriente,"6",0,669.26,0,0,234.41,0,0,57.21,0,0,0,23184.84,0,0,0,0,0,0
"31","074","31074",Yucatán,10248.87000,101.58976,Tahmek,"2372","2373",Noroeste,"2",0,1831.24,0,0,0,0,0,83.88,0,0,0,8339.87,0,0,0,0,0,0
"31","075","31075",Yucatán,22461.19000,222.84278,Teabo,"2373","2374",Sur,"7",0,0,0,0,0,0,0,160.14,0,0,0,22312.94,0,0,0,0,0,0
"31","076","31076",Yucatán,36752.66000,364.44416,Tecoh,"2374","2375",Noroeste,"2",152.6,6363.46,39.84,0,205.32,0,0,239.53,0,0,0,29782.1,0,0,0,0,0,0
"31","077","31077",Yucatán,19961.84000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",0,7.63,1.15,0,10291.51,0,0,33.03,0,0,0,9630.78,0,0,0,0,0,0
"31","078","31078",Yucatán,7979.12000,79.07761,Tekantó,"2376","2377",Centro,"3",0,3165.1,0,0,530.87,0,0,256.64,0,0,0,4029.54,0,0,0,0,0,0
"31","079","31079",Yucatán,276841.69000,2749.10146,Tekax,"2377","2378",Sur,"7",6412.06,21192.44,0,0,5491.59,3026.6,0,562.16,0,0,7210.2,233120.62,0,0,0,0,0,0
