cve_ent,cve_mun,cvegeo,nom_ent,area,perimeter,nom_mun,cov_,cov_id,region,id_region,clase_1,clase_2,clase_3,clase_4,clase_5,clase_6,clase_7,clase_8,clase_9,clase_10,clase_11,clase_12,clase_13,clase_14,clase_15,clase_16,clase_17,clase_18,clase_19
"31","060","31060",Yucatán,10345.65000,102.55767,Quintana Roo,"2358","2359",Oriente,"6",0,373.02,0,0,218.77,0,0,0,64,0,0,0,9688.99,0,0,0,0,0,0
"31","061","31061",Yucatán,33756.28000,334.29701,Río Lagartos,"2359","2360",Noreste,"5",0,0,3522.51,3935.49,16743.73,0,0,3310.07,62.2,1077.95,0,2092.37,0,2008.68,0,0,0,0,0
"31","062","31062",Yucatán,19878.24000,197.16112,Sacalum,"2360","2361",Sur,"7",1003.77,2127.51,8.39,0,514.57,0,0,206.08,118.33,0,0,0,15920.31,0,0,0,0,0,0
"31","063","31063",Yucatán,16064.00000,159.24529,Samahil,"2361","2362",Poniente,"1",1216.83,940.57,0.48,0,711.73,0,0,427.14,182.55,0,0,2096.68,10511.84,0,0,0,0,0,0
"31","064","31064",Yucatán,2616.39000,25.94001,Sanahcat,"2362","2363",Centro,"3",0,0,0,0,0,0,0,0,48.46,0,0,0,2569.27,0,0,0,0,0,0
"31","065","31065",Yucatán,45214.35000,447.79792,San Felipe,"2363","2364",Noreste,"5",0,0,1.43,7606.74,29295.53,0,0,0,45.42,98.02,186.03,3112.87,0,2651.53,0,0,1396.7,0,0
"31","066","31066",Yucatán,51381.68000,509.87699,Santa Elena,"2364","2365",Sur,"7",745.89,1674.92,0,0,411.24,0,0,0,123.93,0,0,0,48487.65,0,0,0,0,0,0
"31","067","31067",Yucatán,17812.38000,176.57656,Seyé,"2365","2366",Noroeste,"2",257.15,844.92,0,0,529.24,0,0,0,209.26,0,0,0,15984.36,0,0,0,0,0,0
"31","068","31068",Yucatán,13426.84000,133.01675,Sinanché,"2366","2367",Litoral centro,"4",0,3771.68,0,699.65,3432.53,0,0,181.44,186.22,83.45,0,3272.35,1806.04,0,0,0,0,0,0
"31","069","31069",Yucatán,54594.42000,541.41639,Sotuta,"2367","2368",Oriente,"6",881.67,2287.36,0,0,5676.02,0,0,0,266.25,0,0,0,45497.44,0,0,0,0,0,0
"31","070","31070",Yucatán,30721.89000,304.38063,Sucilá,"2368","2369",Noreste,"5",0,0,3.67,0,26266.15,0,0,0,78.31,0,0,0,4364.6,0,0,0,0,0,0
"31","071","31071",Yucatán,22155.84000,219.64622,Sudzal,"2369","2370",Centro,"3",0,171.59,0,0,4524.71,0,0,0,63.16,0,0,0,17399.78,0,0,0,0,0,0
"31","072","31072",Yucatán,8790.55000,87.10640,Suma,"2370","2371",Litoral centro,"4",351.73,2336.44,0,0,95.52,0,0,0,125.3,0,0,5.35,5880.02,0,0,0,0,0,0
"31","073","31073",Yucatán,24141.42000,239.57272,Tahdziú,"2371","2372",Oriente,"6",0,370.46,0,0,82.36,0,0,0,57.21,0,0,0,23635.7,0,0,0,0,0,0
"31","074","31074",Yucatán,10248.87000,101.58976,Tahmek,"2372","2373",Noroeste,"2",120.23,1808.52,0,0,135.2,0,0,189.78,153.43,0,0,0,7847.84,0,0,0,0,0,0
"31","075","31075",Yucatán,22461.19000,222.84278,Teabo,"2373","2374",Sur,"7",0,528.58,0,0,109.27,0,0,0,160.14,0,0,0,21675.09,0,0,0,0,0,0
"31","076","31076",Yucatán,36752.66000,364.44416,Tecoh,"2374","2375",Noroeste,"2",109.25,3171.05,39.84,0,145.24,0,0,99.04,429.73,0,0,0,32788.7,0,0,0,0,0,0
"31","077","31077",Yucatán,19961.84000,197.82831,Tekal de Venegas,"2375","2376",Centro,"3",0,3268.85,1.09,0,7504.01,0,0,0,104.34,0,0,0,9085.82,0,0,0,0,0,0
"31","078","31078",Yucatán,7979.12000,79.07761,Tekantó,"2376","2377",Centro,"3",0,1733.76,0,0,639.91,0,0,0,396.33,0,0,0,5212.16,0,0,0,0,0,0
"31","079","31079",Yucatán,276841.69000,2749.10146,Tekax,"2377","2378",Sur,"7",11506.33,19236.68,0,0,3643.69,8.63,2964.64,0,913.41,0,0,6929.97,231812.32,0,0,0,0,0,0
"31","080","31080",Yucatán,28100.50000,278.69264,Tekit,"2378","2379",Sur,"7",0,720.14,9.23,0,740.91,0,0,0,161.62,0,0,0,26485.16,0,0,0,0,0,0
"31","081","31081",Yucatán,27312.75000,270.91751,Tekom,"2379","2380",Oriente,"6",0,2629.59,3.22,0,1461.27,0,0,0,45.95,0,0,0,23165.15,0,0,0,0,0,0
"31","082","31082",Yucatán,5794.82000,57.41223,Telchac Pueblo,"2380","2381",Litoral centro,"4",134.44,2445.11,0,0,1358.89,0,0,0,137.24,0,0,1373.92,348.44,0,0,0,0,0,0
"31","083","31083",Yucatán,6517.25000,64.56118,Telchac Puerto,"2381","2382",Litoral centro,"4",0,2.69,357.64,709.56,1879.17,0,0,169.04,299.03,4.57,0,2832.66,37.41,0,0,210.66,0,0,0
"31","084","31084",Yucatán,33757.19000,334.47349,Temax,"2382","2383",Litoral centro,"4",0,1946.17,1.49,0,21554.68,0,0,0,159.92,0,0,0,10099.54,0,0,0,0,0,0
"31","085","31085",Yucatán,70656.21000,700.36060,Temozón,"2383","2384",Oriente,"6",0,1.13,0,0,21439.62,0,0,0,276.15,0,0,0,48904.48,0,0,0,0,0,0
"31","086","31086",Yucatán,10870.05000,107.71841,Tepakán,"2384","2385",Centro,"3",559.47,432.66,0,0,1897.99,0,0,0,183.11,0,0,0,7799.77,0,0,0,0,0,0
"31","087","31087",Yucatán,33686.24000,333.87542,Tetiz,"2385","2386",Poniente,"1",387.42,2997.89,0,355.7,185.06,0,0,1.05,319.58,0,0,28712.1,396.97,0,0,0,0,0,387.85
"31","088","31088",Yucatán,7786.40000,77.16065,Teya,"2386","2387",Centro,"3",156.07,1163.31,0,0,760.52,0,0,0,121.96,0,0,0,5587.18,0,0,0,0,0,0
"31","089","31089",Yucatán,33992.07000,337.25428,Ticul,"2387","2388",Sur,"7",4193.01,1988.26,0,0,922.66,0,0,0,817.63,0,0,6593.42,19509.98,0,0,0,0,0,0
"31","090","31090",Yucatán,13457.31000,133.42084,Timucuy,"2388","2389",Noroeste,"2",103.52,1340.67,0,0,164.38,0,0,0,127.1,0,0,0,11734.07,0,0,0,0,0,0
"31","091","31091",Yucatán,47052.03000,466.52238,Tinum,"2389","2390",Oriente,"6",0,2398.59,3.04,0,591.4,0,0,3.28,277.08,0,0,0,43769.82,0,0,0,0,0,0
"31","092","31092",Yucatán,50237.49000,498.40485,Tixcacalcupul,"2390","2391",Oriente,"6",0,376.97,7.13,0,285.09,0,0,0,98.23,0,0,0,49453.53,0,0,0,0,0,0
"31","093","31093",Yucatán,17226.74000,170.73376,Tixkokob,"2391","2392",Noroeste,"2",79.46,3155.37,0,0,182.17,0,0,78.32,691.94,0,0,9111.87,3939.81,0,0,0,0,0,0
"31","094","31094",Yucatán,23020.51000,228.44979,Tixmehuac,"2392","2393",Sur,"7",0,1661.91,0,0,251.58,0,0,0,49.64,0,0,0,21066.02,0,0,0,0,0,0
"31","095","31095",Yucatán,7089.34000,70.26393,Tixpéhual,"2393","2394",Noroeste,"2",95.36,1703.49,0,0,2.37,0,0,179.28,418.83,0,0,3165.97,1529.88,0,0,0,0,0,0
"31","096","31096",Yucatán,388484.38000,3848.72093,Tizimín,"2394","2395",Noreste,"5",963.84,898.89,4653.12,6027.96,204727.65,0,898.32,3035.54,1418.34,1666.05,0,7159.8,151285.72,1083.21,0,222.29,4041.18,0,0
"31","097","31097",Yucatán,41322.68000,409.60822,Tunkás,"2395","2396",Centro,"3",0,1705.04,0,0,9006.92,0,0,0,132.32,0,0,0,30479.1,0,0,0,0,0,0
"31","098","31098",Yucatán,76558.89000,760.23971,Tzucacab,"2396","2397",Sur,"7",6815.37,2865.59,0,0,15402.59,0,2320.71,0,534.52,0,0,2884.67,45761.1,0,0,0,0,0,0
"31","099","31099",Yucatán,18767.34000,186.06223,Uayma,"2397","2398",Oriente,"6",0,1298.89,0,0,142.54,0,0,0,89.56,0,0,0,17230.68,0,0,0,0,0,0
"31","100","31100",Yucatán,13080.55000,129.62563,Ucú,"2398","2399",Noroeste,"2",12.79,120.66,0,81.03,89.03,0,0,0,678.7,0,0,12112.62,0,2.34,0,0,0,0,0
"31","101","31101",Yucatán,34909.49000,346.05646,Umán,"2399","2400",Noroeste,"2",326.35,7336.73,2.65,0,176.28,0,0,148.24,2336.92,0,0,3290.29,21335.6,0,0,0,0,0,0
"31","102","31102",Yucatán,107824.05000,1069.24356,Valladolid,"2400","2401",Oriente,"6",0,5286.44,7.74,0,17877.32,0,0,240.45,2433.96,0,0,0,81927.56,0,0,0,0,0,0
"31","103","31103",Yucatán,11076.66000,109.81103,Xocchel,"2401","2402",Centro,"3",0,140.02,0,0,655.05,0,0,51.28,62.96,0,0,0,10171.89,0,0,0,0,0,0
"31","104","31104",Yucatán,147423.03000,1462.34564,Yaxcabá,"2402","2403",Oriente,"6",0,10108.78,4.65,0,3471.05,0,0,0,587.89,0,0,0,133257.26,0,0,0,0,0,0
"31","105","31105",Yucatán,4950.21000,49.05556,Yaxkukul,"2403","2404",Noroeste,"2",0,2283.26,0,0,11.25,0,0,0,64.99,0,0,2594.64,0,0,0,0,0,0,0
"31","106","31106",Yucatán,13177.45000,130.54289,Yobaín,"2404","2405",Litoral centro,"4",941.43,1721.07,60.84,568.25,983.98,0,0,999.74,89.87,128.78,0,4705.17,2982.02,0,0,0,0,0,0
"31","001","31001",Yucatán,29268.91000,290.23783,Abalá,"2299","2300",Noroeste,"2",0,4487.95,5.82,0,1038.79,0,0,0,209.28,0,0,0,23558.9,0,0,0,0,0,0
"31","002","31002",Yucatán,13725.16000,136.06331,Acanceh,"2300","2301",Noroeste,"2",192.73,1501.32,0,0,490.81,0,0,274.75,355.29,0,0,0,10921.31,0,0,0,0,0,0
"31","003","31003",Yucatán,7645.66000,75.87159,Akil,"2301","2302",Sur,"7",3421.66,456.95,0,0,432.55,0,0,0,169.96,0,0,268.5,2901.31,0,0,0,0,0,0
